,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-31053,Ag2S,Monoclinic,P2_1,True,0.004851448333333508,-0.22268068548611097,3.0,-0.605419039963271,-0.584081221285416,-0.5659897062476983,-0.5478164211506309,-0.5277513642308487,-0.4938165634191092,-0.4055938697249437,-0.3146966744353996,-0.2207377133204913,-0.11087418701946161,0.009061072344223042,0.13260479877643228,0.25970276213200894,0.3902820491257901,0.5242639444773487,0.6615670631559407,0.8021050910115353
mp-1228491,Al2S3,Monoclinic,Cc,False,0.0,-1.2363791106875,5.0,-6.162746451939935,-6.1397894438177705,-6.118828939585999,-6.0955846678570955,-6.067639706827357,-6.000745993151863,-5.758883331889336,-5.505752437457058,-5.2488265753154595,-4.987800041705361,-4.722502530489932,-4.452845741578372,-4.178803287372531,-3.900384064563074,-3.617621840813918,-3.3305741800761304,-3.039304788638523
mp-1228158,Al5S8,Cubic,F-43m,False,0.08005848239182711,-1.1087675855769221,13.0,-14.20621891641012,-14.105668096115284,-14.009843243198262,-13.907841386621627,-13.793500621212557,-13.575669540858506,-12.894372376028832,-12.184847193982005,-11.465699486210681,-10.736111725112318,-9.995621318907968,-9.243981793543869,-8.481110134880407,-7.707016726217759,-6.921778895533717,-6.125536152081832,-5.31844573712571
mp-1189572,As2S3,Triclinic,P-1,True,0.0,-0.15593288218749848,5.0,-0.8251600742247702,-0.8185357865520686,-0.814281117761726,-0.8082215123806114,-0.7980644202690101,-0.7497234612451855,-0.5431187419691486,-0.33384401722714774,-0.12124279137685079,0.09510879242170756,0.3154204246656249,0.6748231582051938,1.0484804485765897,1.4248147614770836,1.8038866444212847,2.185733885067176,2.5703684365548796
mp-27543,As4S3,Orthorhombic,Pnma,True,0.006355647857141378,-0.13001546477678566,7.0,-1.0051020128239072,-1.0119734320990592,-1.0251758432279727,-1.0375738906760548,-1.045300078145205,-1.0133691317734854,-0.8211729579455942,-0.6239813789424247,-0.4209474364298238,-0.2115430259554314,0.004430274853733707,0.49708022873762836,1.0166314759032389,1.5398577971861513,2.066837740523619,2.5976204774869096,3.132217767605617
mp-502,As4S5,Monoclinic,P2_1/m,True,0.003371050277777954,-0.15396927600694393,9.0,-1.483899651356051,-1.4788204149962618,-1.479011001097538,-1.4765268838508412,-1.4670221643038515,-1.393386577593609,-1.0553109013950248,-0.7120100828500604,-0.3623264749908959,-0.005518900546780614,0.3587583686027358,1.0007159905046947,1.6706467859429992,2.3453719694591957,3.024998453718526,3.7095930127887193,4.399175504033128
mp-31070,As8S9,Monoclinic,P2/c,True,0.002155271323530883,-0.15601296325367536,17.0,-2.828395544725673,-2.8195659095184795,-2.821806503929765,-2.8196328614786754,-2.8045923855876786,-2.6735270420313704,-2.0656689505144588,-1.4474754428903456,-0.8167865695402128,-0.17222651233175768,0.48682253210218107,1.7007304322021604,2.970048739247506,4.248396165468357,5.535972353831159,6.832902051223179,8.139220923454243
mp-542810,AsS,Monoclinic,P2_1/c,True,0.0,-0.1590996314062494,2.0,-0.33829888248488127,-0.3375112500586482,-0.33817371942176866,-0.33840130540628877,-0.33716733360590556,-0.3229598616800069,-0.25566422513604414,-0.1870910201518745,-0.11698967106475022,-0.04520151765928371,0.028341458876204317,0.17117906114008985,0.3208759717562324,0.47163156514677507,0.6234690238870275,0.7764028411818655,0.9304369691429084
mp-1191613,AsS2,Monoclinic,P2_1,True,0.027285937031251706,-0.10265813145833273,3.0,-0.322277604140693,-0.31366774043192425,-0.3059773938161614,-0.29691699398822635,-0.28522066521470846,-0.2483139696544825,-0.10623167846010739,0.037243049760023794,0.18251613498549535,0.3298527738408885,0.4793946380116174,0.698732977749601,0.925466565967155,1.153818493939406,1.383826126605654,1.6155127584190092,1.8488863904079693
mp-947,Au2S,Cubic,Pn-3m,True,0.0,-0.11802120760416794,3.0,-0.2792900434731461,-0.2549845431452107,-0.23399789659474024,-0.21303312303824407,-0.19031545935048788,-0.15392082784995753,-0.06348290107284704,0.02936005536099895,0.12502432573649713,0.22381397282322402,0.33839644951610914,0.4632785888001387,0.5913646514873014,0.7226065986252292,0.8569443706830935,0.99431523837975,1.1346473975926328
mp-1228640,B12S,Trigonal,R3m,False,0.07553982990085562,-0.01859075711538393,13.0,-0.3656878363286655,-0.4458037143853668,-0.567614000510137,-0.7066436658327342,-0.849733862650414,-0.9784636610904518,-1.048544704173381,-1.1092348549808584,-1.1587136320563767,-1.1958012753260245,-1.2198076965088118,-1.2303066008534511,-1.2270724650220153,-1.2100270575040755,-1.179191220813376,-1.1346122218860089,-1.0764177637153676
mp-1199451,B2S3,Tetragonal,I4_1/a,True,0.0,-0.7342185787266672,5.0,-3.6645420819885066,-3.6530328273939405,-3.6469693175044,-3.641126056286046,-3.6326321653616116,-3.587073752500859,-3.3841594925350145,-3.179354622864205,-2.971915587681307,-2.7613439071479586,-2.5473158834084098,-2.329614698985738,-2.1081061775063348,-1.8827100826350058,-1.6533897047594053,-1.4201279848322133,-1.1829347347545114
mp-540668,BS2,Monoclinic,P2_1/c,True,0.0,-0.7283282915972217,3.0,-2.241568962617915,-2.2475926443298664,-2.256073906046156,-2.264197707181254,-2.2704090078829724,-2.251969614285934,-2.1288085816283076,-2.0046448098254244,-1.8790288488153037,-1.7516581904741688,-1.6223341594372749,-1.4909226231393924,-1.3573394482494874,-1.2215326581734698,-1.0834768069231764,-0.9431589643508236,-0.8005820119485172
mp-28978,Ba2S3,Tetragonal,I4_1md,True,0.06386315299999978,-1.9191098544999996,5.0,-9.484828320287926,-9.433884293416247,-9.378092183193417,-9.315379315267721,-9.244215952371919,-9.131433991776726,-8.857871817594603,-8.562502984580709,-8.261396913038194,-7.954604431311319,-7.642216413757625,-7.324343554948704,-7.001096276116786,-6.672576752700522,-6.338883011056902,-6.000095416608724,-5.656279748505863
mp-1500,BaS,Cubic,Fm-3m,True,0.0,-2.329084296249999,2.0,-4.604361397012612,-4.582464268134364,-4.558408389928717,-4.531359717788424,-4.500672983743416,-4.455295384179309,-4.355571393329781,-4.245001507357139,-4.131698108571383,-4.015739879349233,-3.8972090833063335,-3.776186791555247,-3.65274525985632,-3.52694743435537,-3.3988494194128833,-3.2684957983643788,-3.135921485243232
mp-684,BaS2,Monoclinic,C2/c,True,0.0,-1.7522321483333332,3.0,-5.21680620360106,-5.19201518443906,-5.164534831253313,-5.133126514299348,-5.096905764279988,-5.033757282080338,-4.8641749775791805,-4.683631909369362,-4.500085115444041,-4.313506741770749,-4.1239053990913925,-3.9313107108649916,-3.735760842563435,-3.53729502347956,-3.335955175609862,-3.1317770810416246,-2.9247916048913467
mp-239,BaS3,Tetragonal,P-42_1m,True,0.0,-1.4335711593749987,4.0,-5.678507895955389,-5.64337212295111,-5.605016431226734,-5.561797605900571,-5.512591976348332,-5.4242217479546095,-5.177330266243295,-4.919363152237771,-4.658122099614358,-4.393472717931395,-4.125349965057053,-3.8537320167968083,-3.5786229483340968,-3.300038272108768,-3.018005727753332,-2.7325522961068316,-2.443704793368891
mp-422,BeS,Cubic,F-43m,True,0.0,-1.3072513737499998,2.0,-2.594531266306389,-2.586053422533689,-2.579875553587603,-2.5738255830424666,-2.566706861884527,-2.5469017318587808,-2.4742146868910853,-2.400401392341036,-2.3251635967413575,-2.2483011826553305,-2.1696756539950166,-2.08919603440446,-2.0013502919308905,-1.907361138486829,-1.811650123838779,-1.7142286655451962,-1.6151119854593277
mp-22856,Bi2S3,Orthorhombic,Pnma,True,0.0,-0.6626376374999999,5.0,-3.2148758138221387,-3.1714128505869628,-3.105065839861135,-3.016921147558268,-2.9242146476460205,-2.793214419185026,-2.504056146386209,-2.2124849028936744,-1.9179478361184135,-1.620097785079916,-1.3187064035314924,-1.0136294241335477,-0.704794856344467,-0.3921742853557184,-0.0757683130541551,0.2443986623862191,0.6693211302510313
mp-971673,BiS2,Monoclinic,C2/m,True,0.0,-0.6088071875000006,3.0,-1.780624241940071,-1.756545912489301,-1.7207602669450313,-1.6736081956954556,-1.6235880350608505,-1.5483025768212753,-1.3678943809047466,-1.1862222653485848,-1.0029321316998652,-0.8177971312637395,-0.6306662644799932,-0.441441673852057,-0.2500703189648972,-0.0565261339877523,0.13919767131793925,0.33709329848930025,0.587660016627578
mp-1672,CaS,Cubic,Fm-3m,True,0.0,-2.4356079989062493,2.0,-4.83077896568383,-4.814287392621684,-4.798719414638002,-4.782053237734447,-4.762059928086148,-4.728073270667623,-4.640012803193919,-4.549539875846105,-4.449820506214274,-4.346760189133043,-4.241530476708493,-4.134130562041062,-4.0245819157949665,-3.912913281908428,-3.778104949848425,-3.5759386641672464,-3.3725487325864063
mp-672,CdS,Hexagonal,P6_3mc,True,0.0,-0.776127461406249,2.0,-1.503275682450514,-1.4845749707621785,-1.466194651581961,-1.4366938502254025,-1.4053366110507746,-1.360734326950922,-1.262865612181288,-1.1038665021071663,-0.9047073362339724,-0.704635579650768,-0.503528282727614,-0.30130483341388725,-0.09791518866700955,0.1066740934067889,0.31247634929275225,0.5195008900430915,0.7277428581098908
mp-1095440,CdS2,Cubic,Pa-3,True,0.05108735239583595,-0.4663309552083324,3.0,-1.3338766803024407,-1.304768603568098,-1.2754503346455255,-1.2340764137130416,-1.1896716838018082,-1.1197850423041567,-0.9445445391206388,-0.7080587720470848,-0.43114273627207167,-0.1529373604754709,0.12675395784639543,0.40806327839769274,0.6910747345094519,0.9758454849284304,1.2624030485038604,1.5507655375361882,1.840932143394376
mp-20973,Ce2S3,Orthorhombic,Pnma,True,0.0,-2.4088712696874977,5.0,-11.808330593777596,-11.72917276718529,-11.650805039342679,-11.5690113975553,-11.481422595823982,-11.3538838495518,-11.066195039456897,-10.764827258771918,-10.451041408341034,-10.132128820213737,-9.807993811251592,-9.47862063150113,-9.144038860612987,-8.80430714394343,-8.459511070683034,-8.109741370559936,-7.755101134223207
