,Limiting_reaction,Name,delta_H,dGr_lim
356,I step,Co2S3/CoS2,0.02529364681249957,0.15975989158616688
200,I step,La2S3/LaS2,0.36622491706250093,0.16104007142290477
346,I step,KS/K2S3,0.1545014752604159,0.16346055697240702
489,I step,AgAsS/AgAsS2,-0.044746518593749895,0.16381856664341332
340,I step,K2S/K2S5,0.5476744878571432,0.16989839104408977
326,I step,Ir2S3/Ir3S8,0.06641138823295178,0.17020048892200024
349,I step,PtS/PtS2,0.09356206119791582,0.17705389375599745
228,I step,BaS/Ba2S3,0.40997444174999953,0.17816077866401692
381,II step,PbS/PbS2,0.16227778291666395,0.17821028664670568
120,II step,V3S4/V3S5,0.13900132433035073,0.17940144825776017
452,I step,Li2CrS3/Li2CrS4,0.12908140581349214,0.17943454017773242
369,I step,As4S3/As8S9,-0.025997498476889702,0.1822845761753934
66,I step,CsS/Cs2S5,0.36641442511160505,0.18245310182924745
2,I step,Er5S7/ErS2,0.4123718446267357,0.18896994879963458
172,II step,In6S7/In3S4,0.03227972226992004,0.19979543745623563
370,II step,As4S3/AsS,-0.02908416662946378,0.20148394259858216
342,I step,K2S/KS3,0.6298758278906254,0.20569679950470066
499,II step,Co3Ni3S8/CoNiS4,0.06288406428571436,0.20683573570813918
507,II step,Cu12Sb4S13/Cu3SbS4,-0.0012592132058209526,0.20856977949851885
332,I step,Eu2S3/EuS2,0.2763370012916653,0.2087890596638804
121,II step,V3S4/V5S8,0.10970090714285008,0.20957854397502373
368,I step,As4S3/As4S5,-0.0239538112301583,0.21251860306521742
173,II step,In6S7/In5S8,0.06493848747596498,0.21683343022510293
464,II step,CrCuS2/CrCuS4,0.12355887458333292,0.2191433296408951
184,I step,Ce2S3/CeS2,0.36007102697916604,0.2226104440583363
390,I step,Cr2S3/CrS2,0.1242532901666652,0.22635967600694507
165,II step,In3S4/In5S8,0.03265876520604494,0.22748217570564488
519,I step,Cu12As4S13/Cu3AsS4,0.0037506896928869993,0.22864541468800548
147,II step,Bi2S3/BiS2,0.05383044999999931,0.23173261542328394
407,I step,Pr2S3/PrS2,0.35463355159027765,0.23358955842257423
65,II step,CsS/Cs2S3,0.13922983221874996,0.2340048987246388
67,I step,CsS/CsS3,0.4552562080468743,0.2362522537426427
62,I step,Cs2S3/Cs2S5,0.2271845928928551,0.23811998481123942
367,I step,As4S3/As2S3,-0.025917417410712795,0.23830738456817357
420,II step,SbS/Sb2S3,-0.13047510828124667,0.2430669589302582
472,II step,Li2BiS3/Li4Bi2S7,0.05245516793803384,0.24960146145684803
238,I step,Cu3S2/CuS2,-0.02762172575000202,0.2509814656913495
450,II step,Sb2Pb2S5/Sb6Pb6S17,0.01811747243295081,0.25389947491968545
39,II step,Tb5S7/TbS2,0.3898456868489597,0.256607768171321
358,I step,Co3S4/CoS2,0.05746723116071489,0.25697075388491575
249,I step,Nd2S3/NdS2,0.36071073264583253,0.25904631640883125
206,II step,La5S8/La4S7,0.09999650315122421,0.2590916041137774
61,II step,Cs2S/CsS3,0.5414885175781243,0.260895345029722
48,II step,Ni3S4/NiS2,0.06708644547618903,0.2664858436125508
495,II step,K3SbS3/K3SbS4,0.09511665714285678,0.27771290014212724
68,II step,Mn2S3/MnS2,0.1036990124446836,0.27849882584201646
269,I step,Na2S/NaS,0.2651342320312504,0.2790115476197075
336,I step,EuS/Eu3S4,0.3216695669419667,0.2861868737799931
245,I step,Cu9S5/CuS2,-0.002440787686013607,0.28727412155516774
44,II step,Ni3S2/Ni9S10,0.02334230442105234,0.2878132161512199
372,I step,As4S5/As2S3,-0.0019636061805544947,0.2898849475740861
347,I step,KS/K2S5,0.3991076368675591,0.2907507953738282
63,I step,Cs2S3/CsS3,0.3160263758281243,0.2912965597017687
150,II step,Tl2S/Tl4S3,0.016299070446429142,0.2919277753398215
374,I step,As8S9/As2S3,8.008106617690691e-05,0.29433019296095375
447,II step,FeCu3S4/FeCu3S8,0.010034964166666938,0.2945356105876842
513,II step,LiVS2/Li2V2S5,0.11795380106481379,0.2956782462930363
496,I step,Na3SbS3/Na3SbS4,0.10984108479910604,0.29780715035442107
176,II step,InS/In5S8,0.06262597179086704,0.29877842113691555
108,II step,Pd3S/PdS2,-0.07583242700520881,0.30029640014557835
70,I step,MnS/MnS2,0.3410151361117103,0.3008207045363349
362,II step,Co9S8/CoS2,-0.015508063492647328,0.3008915268978207
377,I step,AsS/As2S3,0.003166749218750986,0.30150250308181126
375,I step,As8S9/As4S5,0.0020436872467314016,0.30322068373468936
348,I step,KS/KS3,0.48130897690104124,0.3052857048671572
338,I step,MgS/MgS2,0.5077027954166664,0.3062265552298946
151,II step,Tl2S/TlS,0.036580965572913626,0.3105823455435959
236,I step,Cu2S/CuS2,0.019465743923607504,0.3107491602491866
132,I step,V5S8/V3S5,0.02930041718750065,0.3127470479918273
378,I step,AsS/As4S5,0.005130355399305481,0.3131200585895366
231,II step,BaS2/BaS3,0.3186609889583343,0.3131552886641149
491,II step,RbBS2/RbBS3,0.11528362375000989,0.31445070614577464
398,I step,Cr5S8/CrS2,0.10958102012820559,0.3148341244267936
379,I step,AsS/As8S9,0.003086668152574079,0.3230194334443839
493,II step,Li2Ni2S3/LiNiS2,0.033040580833334166,0.32673311952178885
339,II step,K2S/K2S3,0.30306832625,0.32754012597734006
153,II step,Tl4S3/TlS,0.020281895126484484,0.32923691574737024
112,I step,PdS/PdS2,0.11937090244791493,0.32963209432865315
270,I step,Na2S/NaS2,0.5637136761458342,0.33008233483609495
240,II step,Cu7S4/CuS,-0.0463005006865532,0.33086812284308564
111,II step,Pd4S/PdS2,-0.1307741216458349,0.3346896864971868
459,I step,Sr2SnS4/Sr2SnS5,0.1773259440011139,0.3363750775227299
59,II step,Cs2S/Cs2S5,0.4526467346428551,0.3401723576966439
241,I step,Cu7S4/CuS2,0.051354034678028904,0.3477793901612847
345,I step,K2S5/KS3,0.08220134003348212,0.34889043334714387
344,I step,K2S3/KS3,0.32680750164062533,0.35256075416540744
