MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom"
mp-36577,Sr1 As2 S4,Sr1 As2 S4,-0.766100359,-1.1225631
mp-10167,Na3 Sb1 S4,Na3 Sb1 S4,-0.922581069,-1.1031018
mp-18309,Ba8 Cd4 S12,Ba2 Cd1 S3,-1.849119346,-1.9380214
mp-1218062,Ta3 W1 S8,Ta3 W1 S8,-1.305321244,-1.4244161
mp-1226019,Co5 Ni1 S8,Co5 Ni1 S8,-0.729589524,-0.801447
mp-1103098,Bi4 Rh4 S4,Bi1 Rh1 S1,-0.577471907,-0.6662292
mp-5546,Cu16 Ge2 S12,Cu8 Ge1 S6,-0.366766826,-0.46274698
mp-16684,Pr4 Cu4 S8,Pr1 Cu1 S2,-1.592968757,-1.7434281
mp-18101,K8 Cd12 S16,K2 Cd3 S4,-1.008943851,-1.1425558
mp-8725,Hf4 Sn4 S12,Hf1 Sn1 S3,-1.28652317,-1.5740775
mp-1446023,Zn1 Fe4 S8,Zn1 Fe4 S8,-0.634408972,-0.74687755
mp-1228522,Al4 Zn4 S10,Al2 Zn2 S5,-1.126659506,-1.338595
mp-1410970,Ti4 Zn2 S8,Ti2 Zn1 S4,-1.47338023,-1.6108528
mp-5942,Na4 As4 S8,Na1 As1 S2,-0.707075465,-0.96336985
mp-28856,Na28 Au20 S24,Na7 Au5 S6,-0.905676583,-0.9808456
mp-15065,Cu2 Ir4 S8,Cu1 Ir2 S4,-0.476789584,-0.8088484
mp-1221529,Mn2 Zn2 S8,Mn1 Zn1 S4,-0.649687342,-0.8806498
mp-675590,Cu6 Bi1 S6,Cu6 Bi1 S6,-0.397421729,-0.49848145
mp-1209063,Re4 As5 S4,Re4 As5 S4,-0.483128132,-0.5680287
mp-608653,As16 Pb16 S40,As2 Pb2 S5,-0.579079361,-0.6646265
mp-985304,Cr1 Ga2 S4,Cr1 Ga2 S4,-0.890696919,-1.0482866
mp-769032,Li12 Nb4 S16,Li3 Nb1 S4,-1.395939861,-1.5027546
mp-30958,Ca12 B24 S48,Ca1 B2 S4,-1.167237051,-1.2656868
mp-1225724,Dy2 Cu6 S6,Dy1 Cu3 S3,-1.007664625,-1.1440525
mp-7936,Li2 Nb2 S4,Li1 Nb1 S2,-1.553966813,-1.6183765
mp-1226070,Co2 Cu2 S8,Co1 Cu1 S4,-0.306233008,-0.6853478
mp-1104381,Ni2 Rh4 S8,Ni1 Rh2 S4,-0.73733214,-0.838615
mp-561122,Gd4 Sn2 S10,Gd2 Sn1 S5,-1.636775684,-1.8502471
mp-1193022,Nb8 Co4 S16,Nb2 Co1 S4,-0.956008752,-1.0957526
mp-676156,Gd5 Ag1 S8,Gd5 Ag1 S8,-2.06796538,-2.224508
mp-675779,Li4 Mo6 S8,Li2 Mo3 S4,-1.072307763,-1.2087905
mp-1192540,Nb8 Ni2 S16,Nb4 Ni1 S8,-1.30577194,-1.3798877
mp-7355,Sm4 Sn2 S10,Sm2 Sn1 S5,-1.741123372,-1.8742
mp-540773,Ca8 Ge4 S16,Ca2 Ge1 S4,-1.681674162,-1.7785248
mp-1120718,Mg1 Zn3 S4,Mg1 Zn3 S4,-1.199073152,-1.2930819
mp-1227503,Ca2 In4 S8,Ca1 In2 S4,-1.189811307,-1.3712946
mp-1216547,Tm4 Mg1 S7,Tm4 Mg1 S7,-2.223401154,-2.3324926
mp-1217360,Ti1 Cr2 S4,Ti1 Cr2 S4,-1.206466263,-1.3075341
mp-29829,Li4 Au4 S4,Li1 Au1 S1,-0.838343984,-0.94919956
mp-1104219,Sm2 Ga4 S8,Sm1 Ga2 S4,-1.296048595,-1.5130597
mp-1395289,Zn2 Fe4 S8,Zn1 Fe2 S4,-0.731873702,-0.825808
mp-15790,Li1 Ho1 S2,Li1 Ho1 S2,-2.120153312,-2.2077525
mp-541879,Rb8 Ge8 S20,Rb2 Ge2 S5,-1.054428829,-1.146359
mp-1104347,Lu1 Mo6 S8,Lu1 Mo6 S8,-0.989886605,-1.2248762
mp-977592,Bi4 Rh6 S4,Bi2 Rh3 S2,-0.532897817,-0.6144189
mp-1068941,K2 Pd1 S2,K2 Pd1 S2,-1.068325833,-1.2252151
mp-1102284,Sb4 Pd4 S4,Sb1 Pd1 S1,-0.620789495,-0.84259653
mp-1189323,Zr10 Sb6 S2,Zr5 Sb3 S1,-1.057587133,-1.0134298
mp-867739,Nb6 Ge2 S12,Nb3 Ge1 S6,-1.282566916,-1.3051312
mp-4152,Ga2 Co1 S4,Ga2 Co1 S4,-0.626425533,-0.9179372
mp-1040470,Li2 Fe4 S8,Li1 Fe2 S4,-0.804695609,-0.9041168
mp-760375,Li3 V1 S4,Li3 V1 S4,-1.359742846,-1.4411778
mp-1199965,Ge12 Rh8 S12,Ge3 Rh2 S3,-0.726597739,-0.838903
mp-1066131,Y1 Tl1 S2,Y1 Tl1 S2,-1.726999907,-1.9067869
mp-22303,Rb6 In2 S6,Rb3 In1 S3,-1.256511265,-1.3120224
mp-3647,Li4 Ga4 S8,Li1 Ga1 S2,-1.187989849,-1.3631912
mp-1226713,Ce1 Dy4 S7,Ce1 Dy4 S7,-2.34928957,-2.4335585
mp-1211293,La2 Y6 S12,La1 Y3 S6,-2.438558226,-2.538033
mp-1212041,In4 Cu2 S8,In2 Cu1 S4,-0.56435193,-0.84268945
mp-1045465,Y2 Ti4 S8,Y1 Ti2 S4,-1.854004145,-1.9602704
mp-541447,K12 Fe8 S16,K3 Fe2 S4,-0.904181758,-1.1655923
mp-1196123,Nd8 Hf4 S20,Nd2 Hf1 S5,-2.186686634,-2.3293717
mp-1103410,Bi6 Te4 S2,Bi3 Te2 S1,-0.436967077,-0.4576754
mp-20519,Cd1 In1 S2,Cd1 In1 S2,-0.538999753,-0.8649194
mp-1238827,Cr4 Ag2 S8,Cr2 Ag1 S4,-0.83287382,-0.9822997
mp-28134,Ba16 As16 S40,Ba2 As2 S5,-1.368440025,-1.4410787
mp-13993,Ti3 Ni1 S6,Ti3 Ni1 S6,-1.493373888,-1.6217333
mp-685513,Pr24 Mn4 S40,Pr6 Mn1 S10,-2.1721191,-2.2301295
mp-1101049,Ti5 Tl1 S8,Ti5 Tl1 S8,-1.598436031,-1.6978139
mp-1224757,In16 Bi12 S40,In4 Bi3 S10,-0.741475463,-0.8437144
mp-1926096,Al2 Fe4 S8,Al1 Fe2 S4,-0.847645239,-0.9542277
mp-756187,Li4 Fe2 S4,Li2 Fe1 S2,-1.088722242,-1.1900434
mp-755664,Li4 Ta6 S12,Li2 Ta3 S6,-1.523826133,-1.6223253
mp-1224971,Fe1 Co1 S2,Fe1 Co1 S2,-0.507244291,-0.6040985
mp-767409,Li5 Sb1 S1,Li5 Sb1 S1,-0.983972498,-1.0218076
mp-5481,Na12 Co2 S8,Na6 Co1 S4,-1.073648743,-1.1459111
mp-1220141,Ni16 Bi16 S2,Ni8 Bi8 S1,-0.15711847,-0.17312106
mp-15782,K1 Pr1 S2,K1 Pr1 S2,-2.111293943,-2.178193
mp-2210635,Mg1 Mn1 S2,Mg1 Mn1 S2,-1.086558794,-1.2021002
mp-8630,Sb4 Ir4 S4,Sb1 Ir1 S1,-0.593002124,-0.6922434
mp-20767,Fe4 Sb8 S16,Fe1 Sb2 S4,-0.494868819,-0.61985135
mp-1227486,Bi4 Sb4 S12,Bi1 Sb1 S3,-0.603994315,-0.7069636
mp-20775,Ce4 Dy4 S12,Ce1 Dy1 S3,-2.4036576,-2.4667244
mp-542596,Hg4 Sb16 S32,Hg1 Sb4 S8,-0.520913272,-0.59478027
mp-652663,K4 Pt2 S30,K2 Pt1 S15,-0.335890662,-0.83930516
mp-642190,Ni6 Bi4 S4,Ni3 Bi2 S2,-0.457811594,-0.54026264
mp-1188689,Nd2 Y6 S12,Nd1 Y3 S6,-2.399530016,-2.5046716
mp-1193767,Hf18 W8 S2,Hf9 W4 S1,-0.313783708,-0.3414295
mp-1024069,Na4 Zn6 S8,Na2 Zn3 S4,-1.00556495,-1.1408819
mp-5694,Na1 Ho1 S2,Na1 Ho1 S2,-2.134603063,-2.196968
mp-1101752,Pr4 As4 S4,Pr1 As1 S1,-1.717031261,-1.7888124
mp-558967,K12 Ta8 S44,K3 Ta2 S11,-1.190958906,-1.3330183
mp-1223529,K1 Cu7 S4,K1 Cu7 S4,-0.452629962,-0.51780766
mp-1220620,Nb3 W1 S8,Nb3 W1 S8,-1.281164308,-1.3527944
mp-1219601,Sb1 Pb3 S4,Sb1 Pb3 S4,-0.598754217,-0.77559423
mp-504951,In6 Ga6 S18,In1 Ga1 S3,-0.779560963,-1.047574
mp-1078726,Cs2 Ho2 S4,Cs1 Ho1 S2,-2.119185275,-2.187675
mp-1193583,Ba4 Ho8 S16,Ba1 Ho2 S4,-2.419589662,-2.5296772
mp-12455,Tm4 Cu4 S8,Tm1 Cu1 S2,-1.590929365,-1.7142859
mp-1179796,Rb4 Co6 S8,Rb2 Co3 S4,-0.851017321,-0.987857
mp-12843,S8 Cu4 Y4,S2 Cu1 Y1,-1.590693927,-1.7302217
mp-23012,Bi4 Pd6 S4,Bi2 Pd3 S2,-0.521839821,-0.596619
mp-756173,Li10 Fe2 S8,Li5 Fe1 S4,-1.266473599,-1.3417475
mp-542627,Fe8 Ag4 S12,Fe2 Ag1 S3,-0.505214399,-0.62941813
mp-1191757,La8 Co2 S14,La4 Co1 S7,-1.985576255,-2.145708
mp-1218053,Ta6 Cu4 S12,Ta3 Cu2 S6,-1.170482334,-1.261113
mp-1232223,Ce8 Mg4 S16,Ce2 Mg1 S4,-2.067469661,-2.1013367
mp-541378,Cs4 Bi4 S8,Cs1 Bi1 S2,-0.994317065,-1.1117939
mp-3930,Sc4 Mn2 S8,Sc2 Mn1 S4,-1.90104308,-1.9524004
mp-1212338,Ho12 Cr4 S24,Ho3 Cr1 S6,-2.019785834,-2.1317701
mp-3787,Rb2 Fe4 S6,Rb1 Fe2 S3,-0.935672357,-0.98450303
mp-1219680,Rb1 Nb6 S8,Rb1 Nb6 S8,-1.396766277,-1.4818816
mp-27255,Ga4 Te2 S4,Ga2 Te1 S2,-0.686105887,-0.8467712
mp-1196179,Tm16 Cr8 S32,Tm2 Cr1 S4,-1.871840243,-1.9696345
mp-1195809,Gd8 Hf4 S20,Gd2 Hf1 S5,-2.146883804,-2.3154492
mp-9361,Rb1 La1 S2,Rb1 La1 S2,-2.140519784,-2.2833986
mp-27124,Cu4 Bi5 S10,Cu4 Bi5 S10,-0.552466881,-0.64693373
mp-2492941,Li4 Nb2 S6,Li2 Nb1 S3,-1.399196627,-1.4904149
mp-629690,Bi4 Pb6 S12,Bi2 Pb3 S6,-0.729781429,-0.80164057
mp-753974,Li16 Cr2 S12,Li8 Cr1 S6,-1.351963786,-1.4557973
mp-1172905,Ag3 Bi3 S6,Ag1 Bi1 S2,-0.486879749,-0.55601263
mp-561902,Cs2 Ag6 S4,Cs1 Ag3 S2,-0.498488322,-0.61858267
mp-863748,Tb4 B4 S12,Tb1 B1 S3,-1.516608375,-1.6539946
mp-29705,Rb24 Sn8 S28,Rb6 Sn2 S7,-1.228317907,-1.2820644
mp-29410,Li4 B4 S10,Li2 B2 S5,-0.995566415,-1.1041371
mp-766422,Li12 Bi4 S16,Li3 Bi1 S4,-1.022543279,-1.1219839
mp-20025,Mn1 Ga2 S4,Mn1 Ga2 S4,-0.925073554,-1.0502759
mp-680181,Bi16 Pb16 S40,Bi2 Pb2 S5,-0.699803611,-0.7718166
mp-1224365,K3 In21 S24,K1 In7 S8,-0.85332007,-0.948926
mp-19833,In2 Ag2 S4,In1 Ag1 S2,-0.559127425,-0.77191865
mp-30239,Sr6 B4 S12,Sr3 B2 S6,-1.667462778,-1.7654076
mp-1224121,Hf1 Zr1 S6,Hf1 Zr1 S6,-1.569317189,-1.7393655
mp-1194276,Ca4 Ho8 S16,Ca1 Ho2 S4,-2.405929086,-2.50631
mp-1218051,Ta4 Mo1 S8,Ta4 Mo1 S8,-1.23441366,-1.349198
mp-1223584,K4 Bi12 S20,K1 Bi3 S5,-0.836971434,-0.920588
mp-15791,Li1 Er1 S2,Li1 Er1 S2,-2.121399676,-2.210228
mp-1192454,Ti2 Nb8 S16,Ti1 Nb4 S8,-1.525464076,-1.592604
mp-1025263,Ti2 Ni1 S4,Ti2 Ni1 S4,-1.42996627,-1.5347897
mp-1216628,Tm4 Mn1 S7,Tm4 Mn1 S7,-2.073130118,-2.1776617
mp-1194339,Li12 Sb4 S12,Li3 Sb1 S3,-1.170994167,-1.2382345
mp-1201533,K36 Fe4 S28,K9 Fe1 S7,-1.069821285,-1.2572728
mp-1216175,Y4 Fe1 S7,Y4 Fe1 S7,-1.984946933,-2.0986686
mp-8947,Sr4 B8 S16,Sr1 B2 S4,-1.233453989,-1.3312688
mp-1211986,K8 Hg12 S16,K2 Hg3 S4,-0.758335309,-0.8382917
mp-1200447,La8 Y8 S24,La1 Y1 S3,-2.46285816,-2.5553138
mp-1103493,Tm1 Mo6 S8,Tm1 Mo6 S8,-0.998825906,-1.2487475
mp-667323,Mg6 Ga12 S24,Mg1 Ga2 S4,-1.181282878,-1.2985226
mp-5821,Ta2 Ag2 S6,Ta1 Ag1 S3,-0.95496328,-1.1005458
mp-562537,Ta4 Ni6 S16,Ta2 Ni3 S8,-1.044254566,-1.1501542
mp-7792,Y4 Sc4 S12,Y1 Sc1 S3,-2.274756047,-2.3946388
