,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error
1,mp-10167,Na3 Sb1 S4,Na3 Sb1 S4,-0.922581069,-1.1031018,0.18052073099999988,-0.9831017999999999,60.520730999999884
2,mp-18309,Ba8 Cd4 S12,Ba2 Cd1 S3,-1.849119346,-1.9380214,0.08890205400000006,-1.8180214000000001,31.097945999999823
3,mp-1218062,Ta3 W1 S8,Ta3 W1 S8,-1.305321244,-1.4244161,0.11909485600000003,-1.3044161,0.9051439999998578
4,mp-1226019,Co5 Ni1 S8,Co5 Ni1 S8,-0.729589524,-0.801447,0.07185747600000003,-0.681447,48.142523999999966
5,mp-1103098,Bi4 Rh4 S4,Bi1 Rh1 S1,-0.577471907,-0.6662292,0.08875729300000001,-0.5462292,31.24270699999998
6,mp-5546,Cu16 Ge2 S12,Cu8 Ge1 S6,-0.366766826,-0.46274698,0.09598015399999998,-0.34274698,24.019846000000012
7,mp-16684,Pr4 Cu4 S8,Pr1 Cu1 S2,-1.592968757,-1.7434281,0.15045934300000008,-1.6234281,30.459342999999972
8,mp-18101,K8 Cd12 S16,K2 Cd3 S4,-1.008943851,-1.1425558,0.13361194900000006,-1.0225558000000001,13.611949000000179
9,mp-8725,Hf4 Sn4 S12,Hf1 Sn1 S3,-1.28652317,-1.5740775,0.2875543300000001,-1.4540775,167.55432999999996
10,mp-1446023,Zn1 Fe4 S8,Zn1 Fe4 S8,-0.634408972,-0.74687755,0.11246857799999999,-0.62687755,7.53142200000001
11,mp-1228522,Al4 Zn4 S10,Al2 Zn2 S5,-1.126659506,-1.338595,0.211935494,-1.218595,91.93549400000012
12,mp-1410970,Ti4 Zn2 S8,Ti2 Zn1 S4,-1.47338023,-1.6108528,0.1374725699999999,-1.4908527999999999,17.4725699999998
13,mp-5942,Na4 As4 S8,Na1 As1 S2,-0.707075465,-0.96336985,0.256294385,-0.84336985,136.294385
14,mp-28856,Na28 Au20 S24,Na7 Au5 S6,-0.905676583,-0.9808456,0.075169017,-0.8608456,44.83098299999999
16,mp-1221529,Mn2 Zn2 S8,Mn1 Zn1 S4,-0.649687342,-0.8806498,0.23096245800000004,-0.7606498,110.96245800000004
17,mp-675590,Cu6 Bi1 S6,Cu6 Bi1 S6,-0.397421729,-0.49848145,0.10105972099999999,-0.37848145,18.940279000000004
18,mp-1209063,Re4 As5 S4,Re4 As5 S4,-0.483128132,-0.5680287,0.08490056800000007,-0.44802870000000006,35.09943199999993
19,mp-608653,As16 Pb16 S40,As2 Pb2 S5,-0.579079361,-0.6646265,0.085547139,-0.5446265,34.452861
20,mp-985304,Cr1 Ga2 S4,Cr1 Ga2 S4,-0.890696919,-1.0482866,0.15758968099999993,-0.9282866,37.58968099999993
21,mp-769032,Li12 Nb4 S16,Li3 Nb1 S4,-1.395939861,-1.5027546,0.10681473900000005,-1.3827546000000002,13.185260999999837
22,mp-30958,Ca12 B24 S48,Ca1 B2 S4,-1.167237051,-1.2656868,0.09844974899999981,-1.1456868,21.550251000000074
23,mp-1225724,Dy2 Cu6 S6,Dy1 Cu3 S3,-1.007664625,-1.1440525,0.13638787499999983,-1.0240524999999998,16.387874999999717
24,mp-7936,Li2 Nb2 S4,Li1 Nb1 S2,-1.553966813,-1.6183765,0.06440968700000016,-1.4983765,55.590312999999945
26,mp-1104381,Ni2 Rh4 S8,Ni1 Rh2 S4,-0.73733214,-0.838615,0.10128285999999997,-0.718615,18.717140000000022
27,mp-561122,Gd4 Sn2 S10,Gd2 Sn1 S5,-1.636775684,-1.8502471,0.21347141599999997,-1.7302471000000001,93.47141600000009
28,mp-1193022,Nb8 Co4 S16,Nb2 Co1 S4,-0.956008752,-1.0957526,0.13974384799999995,-0.9757526,19.743847999999954
29,mp-676156,Gd5 Ag1 S8,Gd5 Ag1 S8,-2.06796538,-2.224508,0.1565426200000002,-2.104508,36.542620000000085
30,mp-675779,Li4 Mo6 S8,Li2 Mo3 S4,-1.072307763,-1.2087905,0.13648273700000013,-1.0887905,16.482737000000025
31,mp-1192540,Nb8 Ni2 S16,Nb4 Ni1 S8,-1.30577194,-1.3798877,0.07411575999999997,-1.2598877000000002,45.884239999999906
32,mp-7355,Sm4 Sn2 S10,Sm2 Sn1 S5,-1.741123372,-1.8742,0.1330766280000002,-1.7542,13.07662800000009
33,mp-540773,Ca8 Ge4 S16,Ca2 Ge1 S4,-1.681674162,-1.7785248,0.09685063800000004,-1.6585248,23.14936200000006
34,mp-1120718,Mg1 Zn3 S4,Mg1 Zn3 S4,-1.199073152,-1.2930819,0.09400874800000003,-1.1730819000000001,25.991251999999854
35,mp-1227503,Ca2 In4 S8,Ca1 In2 S4,-1.189811307,-1.3712946,0.18148329299999988,-1.2512946,61.483292999999996
36,mp-1216547,Tm4 Mg1 S7,Tm4 Mg1 S7,-2.223401154,-2.3324926,0.10909144600000031,-2.2124926,10.908553999999793
37,mp-1217360,Ti1 Cr2 S4,Ti1 Cr2 S4,-1.206466263,-1.3075341,0.101067837,-1.1875341000000001,18.93216299999989
38,mp-29829,Li4 Au4 S4,Li1 Au1 S1,-0.838343984,-0.94919956,0.11085557600000007,-0.8291995600000001,9.14442399999993
39,mp-1104219,Sm2 Ga4 S8,Sm1 Ga2 S4,-1.296048595,-1.5130597,0.21701110499999987,-1.3930596999999998,97.01110499999976
40,mp-1395289,Zn2 Fe4 S8,Zn1 Fe2 S4,-0.731873702,-0.825808,0.09393429799999997,-0.705808,26.065702000000023
41,mp-15790,Li1 Ho1 S2,Li1 Ho1 S2,-2.120153312,-2.2077525,0.087599188,-2.0877524999999997,32.400812000000116
42,mp-541879,Rb8 Ge8 S20,Rb2 Ge2 S5,-1.054428829,-1.146359,0.091930171,-1.0263589999999998,28.0698290000001
43,mp-1104347,Lu1 Mo6 S8,Lu1 Mo6 S8,-0.989886605,-1.2248762,0.23498959499999994,-1.1048762,114.98959500000005
44,mp-977592,Bi4 Rh6 S4,Bi2 Rh3 S2,-0.532897817,-0.6144189,0.08152108299999994,-0.4944189,38.47891700000006
45,mp-1068941,K2 Pd1 S2,K2 Pd1 S2,-1.068325833,-1.2252151,0.15688926699999994,-1.1052151000000001,36.88926700000006
46,mp-1102284,Sb4 Pd4 S4,Sb1 Pd1 S1,-0.620789495,-0.84259653,0.22180703499999999,-0.72259653,101.80703499999998
47,mp-1189323,Zr10 Sb6 S2,Zr5 Sb3 S1,-1.057587133,-1.0134298,0.04415733300000002,-0.8934297999999999,164.15733300000002
48,mp-867739,Nb6 Ge2 S12,Nb3 Ge1 S6,-1.282566916,-1.3051312,0.02256428399999999,-1.1851311999999998,97.43571600000011
49,mp-4152,Ga2 Co1 S4,Ga2 Co1 S4,-0.626425533,-0.9179372,0.291511667,-0.7979372,171.511667
50,mp-1040470,Li2 Fe4 S8,Li1 Fe2 S4,-0.804695609,-0.9041168,0.09942119100000002,-0.7841168000000001,20.578808999999975
51,mp-760375,Li3 V1 S4,Li3 V1 S4,-1.359742846,-1.4411778,0.08143495399999989,-1.3211778,38.565045999999995
52,mp-1199965,Ge12 Rh8 S12,Ge3 Rh2 S3,-0.726597739,-0.838903,0.11230526099999993,-0.718903,7.6947390000000615
53,mp-1066131,Y1 Tl1 S2,Y1 Tl1 S2,-1.726999907,-1.9067869,0.179786993,-1.7867869,59.78699300000012
54,mp-22303,Rb6 In2 S6,Rb3 In1 S3,-1.256511265,-1.3120224,0.055511134999999934,-1.1920224,64.48886500000017
55,mp-3647,Li4 Ga4 S8,Li1 Ga1 S2,-1.187989849,-1.3631912,0.1752013509999999,-1.2431912,55.20135100000001
56,mp-1226713,Ce1 Dy4 S7,Ce1 Dy4 S7,-2.34928957,-2.4335585,0.08426893000000035,-2.3135585,35.731069999999754
57,mp-1211293,La2 Y6 S12,La1 Y3 S6,-2.438558226,-2.538033,0.09947477399999993,-2.418033,20.525226000000174
58,mp-1212041,In4 Cu2 S8,In2 Cu1 S4,-0.56435193,-0.84268945,0.27833752,-0.72268945,158.33752
59,mp-1045465,Y2 Ti4 S8,Y1 Ti2 S4,-1.854004145,-1.9602704,0.10626625499999998,-1.8402704,13.733744999999908
