,Limiting_reaction,Name,delta_H,dGr_lim
2105,I step,GaSbS3/GaSbS4,-0.08006656199999995,-0.01851188399999959
6402,I step,K2Co2S5/KCoS3,-0.002657055999999991,0.015988006999999804
1513,I step,KReS2/K2Re2S5,0.021918773000000114,0.018343215999999885
4107,II step,NaGaS3/NaGaS4,-0.036763549000000006,0.019463887999999763
5859,I step,MgTlS3/MgTlS4,0.020332813999999977,0.03219622199999961
942,I step,Ti2Ge2S5/Ti3Ge3S8,-0.0001343490000000891,0.03921696599999791
4214,II step,NaAuS3/NaAuS4,-0.04485088599999998,0.04417279099999982
3182,II step,NaIrS/Na2Ir2S3,-0.0012750629999999097,0.04419472400000002
3098,I step,AlGeS3/AlGeS4,0.016960858999999995,0.051765559999999766
4201,II step,Na2Au2S3/NaAuS2,-0.031470715999999954,0.05351872799999979
184,I step,YInS2/YInS4,0.3333858249999999,0.05789738700000013
1075,II step,In3SbS3/In3SbS4,-0.04240262500000003,0.060433508000000025
6781,II step,Rb2AuS2/Rb2AuS3,0.04236400100000004,0.06271951799999975
2653,I step,Zr(CrS2)2/ZrCr2S5,0.084352612,0.06540572900000008
732,I step,NaNiS3/NaNiS4,-0.04223376500000009,0.06559930699999983
9263,I step,Cs4V2S11/Cs2VS6,0.016904830999999954,0.06618755400000254
4507,II step,Cs2Co2S5/CsCoS3,0.019809723000000057,0.06803078899999981
4299,I step,Ta(HgS)3/TaHg3S4,-0.0021544689999999367,0.06838414999999998
8130,I step,Sn(HgS2)2/SnHg2S5,-0.01645112000000004,0.06967511100000001
3046,I step,NiTe2S3/Ni(TeS2)2,-0.053537846,0.07120436500000005
7608,II step,Rb2Co2S5/RbCoS3,0.012023329999999999,0.0713622169999999
178,I step,LiRuS3/LiRuS4,0.014201760999999924,0.07140765999999932
4024,II step,LiAuS/Li2Au2S3,0.027491212000000043,0.07612868199999978
5422,II step,Li2Te2S3/LiTeS3,0.04474592200000005,0.07662095533333346
9863,I step,TiRhS4/TiRhS6,0.15607237799999996,0.0766589755
