,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-35835,Ag(AuS)2,Monoclinic,Pc,False,0.051189178666668056,-0.05503952017708684,5.0,-0.2679947205415074,-0.254554298282454,-0.24579058927275943,-0.23654028331057786,-0.22400401572543993,-0.1847374750509525,-0.038239977150629656,0.11205723549689273,0.2668417514499408,0.43289230136306944,0.6199967485063418,0.8194560166944482,1.0241642968110307,1.2340489516876243,1.4490176553351892,1.6689713865813252,1.8937972086868857
mp-558796,Ag(Bi2S3)3,Monoclinic,C2/m,True,0.03002853177083331,-0.5911942533854164,16.0,-9.341211325308286,-9.255428065772445,-9.102881107932891,-8.88536780524933,-8.653810379406615,-8.306555329302274,-7.483725915251293,-6.652377772614242,-5.810736383667528,-4.951392133993831,-4.076613227351686,-3.189224218546144,-2.2890532961691648,-1.3760635308642293,-0.45030317711410817,0.48810947741970523,1.7421127190606285
mp-35109,Ag(Mo3S4)2,Trigonal,R-3,True,0.06199688422222138,-0.7104041626111136,15.0,-10.829966006442557,-10.827039659649232,-10.833753132865166,-10.836482070444657,-10.827827497410347,-10.71620343484836,-10.180968067691836,-9.636762949463636,-9.08165175901383,-8.508020489174328,-7.917987127582215,-7.3142224634505055,-6.696377343830829,-6.064214687224467,-5.4175792800661995,-4.756374342270593,-4.080541731160835
mp-1197575,Ag2AsS2,Monoclinic,Pc,True,0.003030207645833727,-0.14596247081249486,5.0,-0.7046977180079701,-0.6869244570959265,-0.6738476016133732,-0.6602540926928695,-0.6433072541647484,-0.5995171716191545,-0.4483510315730701,-0.29323282149140084,-0.13352470148141116,0.04377478803304058,0.23290083374017012,0.4949299722442202,0.7673726560238965,1.0443553462161752,1.325822510115942,1.6117072558973282,1.9019272215219214
mp-9900,Ag2GeS3,Orthorhombic,Cmc2_1,True,0.0,-0.46651299513888905,6.0,-2.79963610554553,-2.7822890558478983,-2.7693182222816564,-2.7551194344390746,-2.7366137055317763,-2.6792403342051268,-2.462596250441085,-2.2420438019274957,-2.0167566386777223,-1.7452938632191533,-1.4584375827691298,-1.1658500913514604,-0.8675325786962684,-0.5635339651190261,-0.25392721209212255,0.061197460460272524,0.381735310438037
mp-9635,Ag2HgS2,Monoclinic,P2_1/c,True,0.040528937999997794,-0.24948239516666676,5.0,-1.125583941543462,-1.082720272203322,-1.0442856092150956,-0.937910340879295,-0.7993140432934469,-0.6347616862265806,-0.3636841811270184,-0.08947856826579859,0.18851890301314178,0.48333249375768084,0.7892543943353569,1.0998998779415992,1.4152668303348932,1.7353137072627787,2.0599772027911385,2.389183170080374,2.7228425102936065
mp-29163,Ag2TeS3,Monoclinic,Cc,True,0.0,-0.07846885307291747,6.0,-0.4590165994911294,-0.43789399204294766,-0.42082319796925116,-0.40218760969590983,-0.35901706564053804,-0.2697228290025784,-0.02022198315570778,0.2337987214553241,0.4930018787929029,0.7704177525523672,1.1184326036564993,1.4569509101185982,1.8008250863957205,2.1500341957967883,2.5045275601058776,2.864237760870557,3.229081821031892
mp-990091,Ag2WS4,Orthorhombic,Pnma,False,0.0929013049107148,-0.33609527486607,7.0,-2.4678281212677433,-2.4725356167152297,-2.480994428419235,-2.4871895822516032,-2.487807035818983,-2.4372329201410277,-2.175230183733336,-1.909166902491349,-1.638093511458126,-1.3487840775032733,-1.0468187966919107,-0.7384867555352557,-0.4237343248643093,-0.10256390666983073,0.22498333925884142,0.5588425771343104,0.8989296966618631
mp-561620,Ag3AsS3,Monoclinic,C2/c,True,0.0,-0.1596350126339254,7.0,-1.071918637209425,-1.0430148258240182,-1.0201652793399951,-0.9962906094715618,-0.9675295385038134,-0.8988719182420173,-0.6696505785304767,-0.4350824836928844,-0.19425848956310077,0.07229753132000027,0.3559411760197584,0.714543071970132,1.0856036017214716,1.4632246281946628,1.8473183522263739,2.237781590099484,2.634490847159004
mp-9538,Ag3AsS4,Orthorhombic,Pmn2_1,True,0.0,-0.14053708046874824,8.0,-1.098678615889036,-1.0683787815395396,-1.0436026273950816,-1.0168661800326406,-0.9840689604102062,-0.8991383248325295,-0.6015565387890245,-0.29851312903391847,0.011056392915766544,0.3467346909303446,0.6999510149468984,1.1286274400529237,1.5702984390872246,2.019089591823679,2.4749272814629357,2.9377171255361176,3.407339678305103
mp-34460,Ag3AuS2,Trigonal,R-3m,False,0.023368920833330975,-0.0946763167708345,6.0,-0.6003370337729519,-0.5970776674822558,-0.6003471835404981,-0.6035049810067026,-0.6029486756732068,-0.5747492705953863,-0.4380963785556373,-0.2962292192944531,-0.14835875432439494,0.02493124678045966,0.22122526228237405,0.42808180968264864,0.6418716741695434,0.8624614663391235,1.0897030835053396,1.3234430834815019,1.5635160929812795
mp-1229165,Ag3Bi7S12,Monoclinic,C2/m,False,0.01003388810606154,-0.5716634520454537,22.0,-12.426616055369523,-12.314500941775787,-12.127161117424976,-11.863406752465497,-11.580848403139122,-11.143457388054196,-10.071081378463255,-8.986248219051223,-7.886442029411604,-6.751183547071481,-5.588422808352632,-4.40734977655768,-3.20779383000869,-1.989764886803549,-0.7533831264669075,0.5011439798461268,2.127167673410206
mp-1214935,Ag3Bi8S13,Monoclinic,C2/m,False,0.032665456180559715,-0.5540993586458326,24.0,-13.11638564484251,-12.990009892487098,-12.777232697977457,-12.477609706987417,-12.157489013406128,-11.669507223122514,-10.49350513167201,-9.303896839346336,-8.097967711602909,-6.855118173683145,-5.583220915222348,-4.291419489680109,-2.979524325251937,-1.647542991057918,-0.2956030587481209,1.0760714008111876,2.871326849079061
mp-555269,Ag3SbS3,Monoclinic,P2_1/c,True,0.0,-0.206377109062497,7.0,-1.4158490641000934,-1.3909001395395055,-1.3718914725216456,-1.3517467840523194,-1.3265612663342239,-1.2612574031879662,-1.0132081343194859,-0.7586243609338581,-0.49758465716312106,-0.21066989922548096,0.09345789062333854,0.40515003629861557,0.7243404592427538,1.0509194869048084,1.384749053240581,1.7028172322413972,2.092769612529473
mp-1195808,Ag4Sn3S8,Cubic,P4_132,True,0.00791037183333465,-0.3310432080000036,15.0,-4.8293511408140635,-4.74366814862153,-4.623743544091255,-4.496115691171264,-4.35614977511635,-4.112489904591025,-3.444624854775615,-2.7673174415653676,-2.07872151326675,-1.3524553786156925,-0.5997565775112967,0.16671705621509858,0.9470006370602739,1.7410078801965874,2.5485923979040876,3.3695493689830336,4.203650881283057
mp-530464,Ag5(Sn3S8)2,Orthorhombic,C222_1,False,0.026250193622685103,-0.32746635978588123,27.0,-8.678675982811672,-8.533692958790159,-8.314561377588436,-8.078743199945944,-7.819324997026665,-7.35496820101271,-6.045501739218089,-4.720990000148539,-3.378088560286717,-1.9831384315318414,-0.5497549661862813,0.9065182385587605,2.3858838923472945,3.8883143707312295,5.413656244737318,6.961635151384521,8.531930810972476
mp-1247859,Ag5Au3S4,Triclinic,P1,False,0.024723359444443815,-0.09331787315972899,12.0,-1.1337688513433304,-1.114634125075109,-1.108593438573429,-1.1023811364143334,-1.0888100695015632,-1.020049191139738,-0.7345036376569762,-0.4386642857006642,-0.1309385482684693,0.2212366671958783,0.6222804597260989,1.0477949138143465,1.4870008453157162,1.9396439125887426,2.405437238136116,2.8840832654592603,3.375258502999248
mp-4004,Ag5SbS4,Orthorhombic,Cmc2_1,True,0.015285038999998335,-0.16459491162500228,10.0,-1.606522320873922,-1.5732323077495667,-1.5491288558080765,-1.5238076123557676,-1.4915537678319764,-1.4053118339880664,-1.0820366015395084,-0.7495523629784238,-0.40755042820686427,-0.02376887408228434,0.38729744501613617,0.8095365870095321,1.2428282431951647,1.6869898277369124,2.141804559310156,2.584179126875476,3.101672804905064
mp-15077,Ag7AsS6,Cubic,P2_13,True,0.005543654107141194,-0.12535749799107115,14.0,-1.6301571594964481,-1.563685749909375,-1.5092306278076122,-1.4526516723691678,-1.3862284010252992,-1.2399322259422778,-0.772409114628573,-0.29407537641251125,0.19690800564886146,0.7458092941473673,1.332392074773157,2.0016518906254674,2.6910147542527962,3.394460418858678,4.111757837082923,4.842649856395148,5.5868444027571975
mp-9770,Ag8GeS6,Orthorhombic,Pna2_1,True,0.0,-0.3268718610555529,15.0,-4.719032138529911,-4.638487917166116,-4.572058822854123,-4.504156464087739,-4.426271848788497,-4.267910359394031,-3.7874144789148954,-3.294986728900076,-2.7886389666729787,-2.1884018966787213,-1.5425561225050473,-0.8801537361581531,-0.2013586178036313,0.49356157238755927,1.2042977271017357,1.9305154713225046,2.6718511204996496
mp-15645,Ag8SnS6,Orthorhombic,Pna2_1,True,0.0,-0.20457866779166617,15.0,-2.944959816815826,-2.8778866358220574,-2.810220596182833,-2.739714240215868,-2.658789290461553,-2.4970672095772395,-2.0129837593214734,-1.5168378492828367,-1.0067232147968639,-0.43103662757300576,0.18703329201081687,0.8217230460303782,1.4728635721674408,2.1401830645288946,2.8233703429399952,3.52208585023169,4.235965901853756
mp-984714,AgAsS,Orthorhombic,Pnma,False,0.011902601319444983,-0.11225796406249818,3.0,-0.34325441117462896,-0.3394075357029712,-0.3388992061889099,-0.33838269318335845,-0.3360459220618863,-0.3199192121995167,-0.24960410678591272,-0.17673161642718593,-0.10093520550401713,-0.015688082325233665,0.07612452942224213,0.23878507551294748,0.40981407835393835,0.583362597298283,0.7594073660990821,0.9379177848217228,1.1188526240443695
mp-13740,AgAsS2,Trigonal,R-3,True,0.0010879756249995154,-0.157004482656248,4.0,-0.6329320624302368,-0.6223204613572423,-0.6145168215454966,-0.6057698284086892,-0.5940282059952823,-0.5562597781797844,-0.41221552379696674,-0.26549901588347896,-0.11558837450316044,0.04414972844434928,0.21090372214586672,0.4490075000294714,0.6960156747906728,0.9461030226355286,1.1992604596811212,1.4554661872410801,1.7146830248104454
mp-23474,AgBi3S5,Monoclinic,C2/m,True,0.0,-0.5982870760185198,9.0,-5.316558341200598,-5.268383668458467,-5.187506076300426,-5.073891076747152,-4.95248747986845,-4.7667084182206505,-4.316548343624902,-3.8614315621908872,-3.4003351629201006,-2.926317004661401,-2.4419509841064873,-1.9502523332430215,-1.4511401813311746,-0.9446083628007198,-0.4306971381221576,0.09051620292813922,0.7704802372035964
mp-1172905,AgBiS2,Trigonal,P-3m1,False,0.020163779583333152,-0.48687974916666593,4.0,-1.9164511105483892,-1.8964006718339208,-1.8665313611941936,-1.8257223247362735,-1.7816864985623042,-1.7115689361679853,-1.5352284051635399,-1.356344138014548,-1.1744460763115097,-0.9829392398837916,-0.7846258716697854,-0.5826654709967549,-0.377049157666472,-0.1677991809172532,0.04504480066726065,0.26142989548469703,0.5318101911028551
mp-3922,AgSbS2,Monoclinic,C2/c,True,0.0,-0.24963047140624894,4.0,-0.9995061076487253,-0.9876829779825049,-0.9785538022188769,-0.9683703750631301,-0.9550378904813304,-0.9154568043633255,-0.7474182054055243,-0.575519603525954,-0.40022683708663864,-0.21496358166654383,-0.022559027397919706,0.17380141562863383,0.37410589900068203,0.5783176634524416,0.7863773582201414,0.9753544423258571,1.232980818541825
